pref,name,touroku,year,addr,hp,lat,lon
長野県,大芝高原,第49回,H30.4,上伊那郡南箕輪村,https://www.cbr.mlit.go.jp/michinoeki/nagano/nagano16.html,35.886668,137.94389
長野県,南信州　うるぎ,第49回,H30.4,下伊那郡売木村,https://www.cbr.mlit.go.jp/michinoeki/nagano/nagano17.html,35.273889,137.709445
長野県,歌舞伎の里大鹿,第49回,H30.4,下伊那郡大鹿村,https://www.cbr.mlit.go.jp/michinoeki/nagano/nagano18.html,35.565001,138.036947
長野県,八千穂高原,第60回,R6.2,南佐久郡佐久穂町,,,
岐阜県,美並,第1回,H5.4,郡上市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu01.html,35.609205,136.943142
岐阜県,パスカル清見,第1回,H5.4,高山市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu02.html,35.940625,137.082695
岐阜県,明宝,第1回,H5.4,郡上市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu03.html,35.844793,137.02843
岐阜県,花街道付知,第1回,H5.4,中津川市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu04.html,35.642685,137.441553
岐阜県,美濃白川,第1回,H5.4,加茂郡白川町,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu05.html,35.604009,137.173861
岐阜県,ラステンほらど,第4回,H6.3,関市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu06.html,35.596361,136.7983
岐阜県,白山文化の里長滝,第4回,H6.3,郡上市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu07.html,,
岐阜県,奥飛騨温泉郷上宝,第5回,H6.4,高山市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu08.html,36.249002,137.499654
岐阜県,賤母,第6回,H6.8,中津川市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu09.html,35.586112,137.550439
岐阜県,ロック・ガーデン　ひちそう,第8回,H7.4,加茂郡七宗町,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu10.html,35.533911,137.11445
岐阜県,星のふる里　ふじはし,第8回,H7.4,揖斐郡揖斐川町,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu11.html,35.577413,136.462913
岐阜県,白川郷,第8回,H7.4,大野郡白川村,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu12.html,36.278927,136.901539
岐阜県,平成,第10回,H8.4,関市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu13.html,35.552245,136.997292
岐阜県,アルプ飛騨古川,第10回,H8.4,飛騨市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu14.html,36.220446,137.192351
岐阜県,飛騨金山ぬく森の里温泉,第12回,H9.4,下呂市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu15.html,35.668911,137.147179
岐阜県,上矢作ラ・フォーレ福寿の里,第12回,H9.4,恵那市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu16.html,35.323636,137.471578
岐阜県,モンデウス飛騨位山,第12回,H9.4,高山市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu17.html,36.061868,137.225696
岐阜県,南飛騨小坂,第13回,H9.10,下呂市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu18.html,35.931458,137.294345
岐阜県,夢さんさん谷汲,第14回,H10.4,揖斐郡揖斐川町,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu19.html,35.531481,136.585564
岐阜県,土岐美濃焼街道,第14回,H10.4,土岐市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu20.html,35.336059,137.22319
岐阜県,富有柿の里いとぬき,第15回,H11.8,本巣市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu21.html,35.472554,136.676047
岐阜県,ななもり清見,第15回,H11.8,高山市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu22.html,36.133976,137.16621
岐阜県,きりら坂下,第15回,H11.8,中津川市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu23.html,35.57043,137.534574
岐阜県,クレール平田,第15回,H11.8,海津市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu24.html,35.274715,136.671057
岐阜県,馬瀬　美輝の里,第15回,H11.8,下呂市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu25.html,35.819913,137.187413
岐阜県,飛騨街道　なぎさ,第16回,H12.8,高山市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu26.html,36.006871,137.291661
岐阜県,ひだ朝日村,第16回,H12.8,高山市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu27.html,36.087964,137.350572
岐阜県,そばの郷　らっせぃみさと,第16回,H12.8,恵那市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu28.html,35.405708,137.358747
岐阜県,織部の里・もとす,第16回,H12.8,本巣市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu29.html,35.500115,136.667187
岐阜県,飛騨たかね工房,第17回,H13.8,高山市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu30.html,36.046476,137.440741
岐阜県,大日岳,第17回,H13.8,郡上市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu31.html,35.987643,136.891074
岐阜県,桜の郷　荘川,第17回,H13.8,高山市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu32.html,36.021213,136.965612
岐阜県,むげ川,第17回,H13.8,関市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu33.html,35.515183,136.854122
岐阜県,古今伝授の里やまと,第17回,H13.8,郡上市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu34.html,35.816091,136.901735
岐阜県,みのかも,第18回,H14.8,美濃加茂市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu35.html,,
岐阜県,茶の里東白川,第18回,H14.8,加茂郡東白川村,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu36.html,35.667783,137.352421
岐阜県,和良,第18回,H14.8,郡上市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu37.html,35.742508,137.067787
岐阜県,うすずみ桜の里・ねお,第18回,H14.8,本巣市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu38.html,35.660163,136.589241
岐阜県,志野・織部,第19回,H15.8,土岐市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu39.html,35.394143,137.188131
岐阜県,加子母,第19回,H15.8,中津川市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu40.html,35.708782,137.374753
岐阜県,夜叉ヶ池の里さかうち,第19回,H15.8,揖斐郡揖斐川町,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu41.html,35.602032,136.413732
岐阜県,おばあちゃん市・山岡,第19回,H15.8,恵那市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu42.html,35.328255,137.306444
岐阜県,月見の里　南濃,第20回,H16.8,海津市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu44.html,35.215087,136.600691
岐阜県,柳津,第20回,H16.8,岐阜市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu45.html,35.370094,136.731357
岐阜県,五木のやかた・かわうえ,第21回,H17.8,中津川市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu46.html,35.602352,137.501864
岐阜県,宙ドーム・神岡,第21回,H17.8,飛騨市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu47.html,36.329017,137.307189
岐阜県,白尾ふれあいパーク,第21回,H17.8,郡上市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu48.html,35.889671,136.891924
岐阜県,美濃にわか茶屋,第24回,H19.8,美濃市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu49.html,35.554599,136.913733
岐阜県,飛騨白山,第26回,H20.4,大野郡白川村,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu50.html,36.17388,136.901648
岐阜県,半布里の郷　とみか,第32回,H21.7,加茂郡富加町,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu51.html,35.47432,136.980146
岐阜県,可児ッテ「ＣＡＮＩＴＴＥ」,第34回,H22.8,可児市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu52.html,35.430055,137.101163
岐阜県,池田温泉,第35回,H23.3,揖斐郡池田町,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu53.html,35.419442,136.559814
岐阜県,清流白川　クオーレの里,第38回,H24.9,加茂郡白川町,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu54.html,35.595447,137.218983
岐阜県,清流の里しろとり,第45回,Ｈ28.4,郡上市,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu55.html,35.881564,136.854767
岐阜県,パレットピアおおの,第47回,H29.4,揖斐郡大野町,https://www.cbr.mlit.go.jp/michinoeki/gifu/gifu56.html,35.431918,136.628084
静岡県,富士,第1回,H5.4,富士市,https://www.cbr.mlit.go.jp/michinoeki/shizuoka/shizuoka01.html,35.13341,138.647042
静岡県,くんま水車の里,第8回,H7.4,浜松市,https://www.cbr.mlit.go.jp/michinoeki/shizuoka/shizuoka02.html,34.960824,137.733228
静岡県,花の三聖苑伊豆松崎,第9回,H7.8,賀茂郡松崎町,https://www.cbr.mlit.go.jp/michinoeki/shizuoka/shizuoka03.html,34.757783,138.825399
